algorithm,dataset,k_ratio,l1_error,l2_error,runtime,memory_mb,compression_ratio,actual_size,original_size
k-Gs,Amazon-0302,0.1,0.02663108755746282,0.02130487004597026,440.2911415067244,2935.274276711496,10.500940506842907,3084693.7118867678,32392185.15035536
k-Gs,Amazon-0302,0.2,0.028496754538125196,0.02279740363050016,482.5346253439276,3216.8975022928507,4.707362859514439,6881174.474341796,32392185.15035536
k-Gs,Amazon-0302,0.30000000000000004,0.022322766215074452,0.017858212972059563,387.36234998840706,2582.41566658938,3.083350815890302,10505513.995818956,32392185.15035536
k-Gs,Amazon-0302,0.4,0.02129424692672542,0.017035397541380337,378.9091079752733,2526.0607198351554,2.3144467059075833,13995649.615813099,32392185.15035536
k-Gs,Amazon-0302,0.5,0.021199947610134898,0.016959958088107917,387.0719617185124,2580.479744790083,2.1113883591772056,15341651.861232383,32392185.15035536
k-Gs,Amazon-0302,0.6,0.021744594010462855,0.017395675208370286,407.65056347000655,2717.670423133377,1.8143871602260857,17852962.069197547,32392185.15035536
S2L,Amazon-0302,0.1,0.02287415845104981,0.01829932676083985,560.263587165563,3361.581522993378,10.079247007662788,3213750.503954221,32392185.15035536
S2L,Amazon-0302,0.2,0.021670257233848092,0.017336205787078476,543.6174321484353,3261.7045928906123,4.686204357296775,6912243.402257581,32392185.15035536
S2L,Amazon-0302,0.30000000000000004,0.023676888711036327,0.018941510968829064,608.6817153829012,3652.090292297407,3.1653265128803296,10233441.958845401,32392185.15035536
S2L,Amazon-0302,0.4,0.021729155589545596,0.01738332447163648,572.8116414501171,3436.8698487007023,2.5382111796404616,12761816.435992423,32392185.15035536
S2L,Amazon-0302,0.5,0.0199753794617004,0.01598030356936032,540.3164515449766,3241.8987092698594,2.019954368425816,16036097.47659752,32392185.15035536
S2L,Amazon-0302,0.6,0.022479555470850513,0.017983644376680413,624.3393236439044,3746.0359418634266,1.59878478706967,20260503.73529343,32392185.15035536
SAA-Gs,Amazon-0302,0.1,0.020457890974243102,0.016366312779394484,493.2518328206789,3100.440092015696,10.246628157346638,3161253.112042597,32392185.15035536
SAA-Gs,Amazon-0302,0.2,0.021743513144208304,0.017394810515366645,536.9323847230429,3375.00356111627,5.482640510678066,5908135.885850604,32392185.15035536
SAA-Gs,Amazon-0302,0.30000000000000004,0.016414787235368083,0.013131829788294467,415.3951833067989,2611.0554379284504,3.351238573788225,9665735.350419825,32392185.15035536
SAA-Gs,Amazon-0302,0.4,0.018108326044110293,0.014486660835288235,469.9026205232008,2953.6736147172624,2.4152293668504146,13411639.322933732,32392185.15035536
SAA-Gs,Amazon-0302,0.5,0.019501994554999177,0.015601595643999343,519.2694340622822,3263.97929982006,2.1188859199607677,15287366.273572257,32392185.15035536
SAA-Gs,Amazon-0302,0.6,0.019144279728648364,0.015315423782918692,523.3986251938311,3289.9342155040813,1.8430319445754577,17575487.63367577,32392185.15035536
SSumM,Amazon-0302,0.1,0.014021543930826537,0.01121723514466123,337.18960667750105,2528.922050081258,9.31736361881888,3476539.7676367136,32392185.15035536
SSumM,Amazon-0302,0.2,0.013598935193361908,0.010879148154689527,334.93866320562677,2512.039974042201,4.898620026589706,6612512.294182975,32392185.15035536
SSumM,Amazon-0302,0.30000000000000004,0.017524622654736567,0.014019698123789254,442.3289543823113,3317.4671578673347,3.6387241909837287,8902072.113797154,32392185.15035536
SSumM,Amazon-0302,0.4,0.013117471416493692,0.010493977133194955,339.50813341824113,2546.311000636809,2.3375140081290793,13857536.27045928,32392185.15035536
SSumM,Amazon-0302,0.5,0.012185282789514553,0.009748226231611644,323.6084369928884,2427.063277446663,1.888402075494479,17153224.713478167,32392185.15035536
